acc_date,type,reg,operator,fat,location,dmg,plane_type
2022-09-09 00:00:00,Cirrus SF50 Vision Jet,N77VJ,TAC9 Inc.,0.0,"10 km SSW of Kissimmee Gateway Airport, FL (ISM)",sub,CIRRUS SF50 VISION JET
2022-09-10 00:00:00,Antonov An-28,9S-GAX,TRACEP-Congo Aviation,3.0,13 km W of Bukavu-Kavumu Airport (BKY),w/o,ANTONOV AN-28
2022-09-10 00:00:00,Cessna 208B Grand Caravan,PT-MES,Piquiatuba Táxi Aéreo,1.0,"near Porto Trombetas, PA",w/o,CESSNA 208B GRAND CARAVAN
2022-09-15 00:00:00,Fairchild SA227-AC Metro III,XA-UMW,Aeronaves TSM,0.0,near Ramos Arizpe,sub,FAIRCHILD SA227-AC METRO III
2022-09-19 00:00:00,Beechcraft 1900C-1,TN-AIQ,Equaflight Services,0.0,Pointe-Noire Agostinho-Neto International Airport (PNR),sub,BEECHCRAFT 1900C-1
2022-09-20 00:00:00,Dassault Falcon 2000,ZS-PKR,Pepkor Group,0.0,Pietermaritzburg Airport (PZB),sub,DASSAULT FALCON 2000
2022-09-20 00:00:00,Cessna 525B CitationJet CJ3,N528DV,Pacific Cataract & Laser Institute Inc Pc,0.0,"Pasco-Tri-Cities Airport, WA (PSC)",w/o,CESSNA 525B CITATIONJET CJ3
2022-09-20 00:00:00,British Aerospace 3201 Jetstream 32EP,OB-2152,SAETA Peru,1.0,El Estrecho Airport (SPEE),sub,BRITISH AEROSPACE 3201 JETSTREAM 32EP
2022-09-21 00:00:00,Britten Norman BN-2A-8 Islander,8R-GGT,Jags Aviation,0.0,Eteringbang Airport (SYET),sub,BRITTEN NORMAN BN-2A-8 ISLANDER
2022-09-21 00:00:00,Rockwell Sabreliner 65,XB-RXG,private,0.0,within Zulia,w/o,ROCKWELL SABRELINER 65
2022-09-22 00:00:00,Boeing 737-8HC (WL),TC-SOG,SunExpress,0.0,Köln/Bonn-Konrad Adenauer Airport (CGN/EDDK),sub,BOEING 737-8HC (WL)
2022-09-22 00:00:00,Antonov An-2R,ST-AUE,Crop Protection Company,0.0,"Yassin, east Darfur",sub,ANTONOV AN-2R
2022-09-24 00:00:00,Boeing 737-436 (SF),EC-NLS,"Swiftair, opf West Atlantic (UK)",0.0,Montpellier-Méditerranée Airport (MPL),sub,BOEING 737-436 (SF)
2022-09-25 00:00:00,Boeing 737-8V3 (WL),HP-1539CMP,Copa Airlines,0.0,Panama City-Tocumen International Airport (PTY),sub,BOEING 737-8V3 (WL)
